Day Index,Avg. Session Duration
10/18/15,00:00:00
10/19/15,00:00:00
10/20/15,00:00:00
10/21/15,00:00:00
10/22/15,00:00:00
10/23/15,00:00:00
10/24/15,00:00:00
10/25/15,00:00:00
10/26/15,00:00:00
10/27/15,00:00:00
10/28/15,00:00:00
10/29/15,00:00:00
10/30/15,00:00:00
10/31/15,00:00:00
11/1/15,00:00:00
11/2/15,00:00:00
11/3/15,00:00:00
11/4/15,00:00:00
11/5/15,00:00:00
11/6/15,00:00:00
11/7/15,00:00:00
11/8/15,00:00:00
11/9/15,00:16:37
11/10/15,00:19:23
11/11/15,00:04:55
11/12/15,00:04:40
11/13/15,00:04:47
11/14/15,00:05:11
11/15/15,00:04:58
11/16/15,00:03:25
11/17/15,00:04:43
